Date,Open,High,Low,Close,Adj Close,Volume
2002-10-29,8988.620117,8988.620117,8988.620117,8988.620117,8888.736328,100349
2002-10-30,10061.099609,10061.099609,9948.769531,10061.099609,9949.298828,4178437
2002-10-31,10214.299805,10459.500000,9325.700195,9560.629883,9454.388672,6465417
2002-11-01,9805.769531,10112.200195,8620.910156,8968.200195,8868.542969,3674734
2002-11-04,8886.480469,8947.769531,8304.259766,8518.759766,8424.097656,3387882
2002-11-05,8477.910156,8927.339844,8477.910156,8508.549805,8414.000000,3070681
2002-11-06,8641.339844,8702.620117,8130.620117,8324.690430,8232.184570,2497468
2002-11-07,8273.620117,8733.269531,8253.190430,8334.910156,8242.290039,2336420
2002-11-08,8140.830078,8253.190430,8018.259766,8171.479980,8080.675781,1348104
2002-11-11,8151.049805,8651.549805,8151.049805,8375.759766,8282.686523,2156771
2002-11-12,8232.759766,8273.620117,7865.049805,7926.330078,7838.250977,1435236
2002-11-13,7926.330078,8120.399902,7497.330078,7517.759766,7434.220703,2114183
2002-11-14,7762.899902,7844.620117,7252.189941,7476.899902,7393.813965,1713277
2002-11-15,7660.759766,7854.830078,7415.609863,7854.830078,7767.545898,2109778
2002-11-18,7824.189941,7956.979980,7732.259766,7742.470215,7656.433594,1302090
2002-11-19,7844.620117,8069.330078,7824.189941,7885.470215,7797.844238,1825863
2002-11-20,7885.470215,8202.120117,7875.259766,8202.120117,8110.975586,2153344
2002-11-21,8314.480469,8355.330078,8028.479980,8069.330078,7979.661133,1324118
2002-11-22,8253.190430,8641.339844,8130.620117,8242.980469,8151.382324,3482847
2002-11-25,8355.330078,8488.120117,8130.620117,8314.480469,8222.087891,1580131
2002-11-26,8416.620117,8477.910156,8151.049805,8171.479980,8080.675781,1652578
2002-11-27,8069.330078,8191.910156,7517.759766,7701.620117,7616.037598,3949837
2002-11-28,7865.049805,8263.410156,7701.620117,8048.899902,7959.458496,3820607
2002-11-29,8151.049805,9009.049805,8028.479980,9009.049805,8908.939453,7242755
2002-12-02,null,null,null,null,null,null
2002-12-03,9397.200195,9540.200195,9274.629883,9417.629883,9312.976563,2508237
2002-12-04,9192.910156,9805.769531,9131.620117,9540.200195,9434.187500,2813200
2002-12-05,9744.490234,10663.799805,9458.480469,10418.599609,10302.826172,5557870
2002-12-06,10336.900391,11154.099609,10316.500000,10582.099609,10464.507813,5056124
2002-12-09,10786.299805,10847.599609,10275.599609,10357.299805,10242.205078,1755864
2002-12-10,10153.099609,10786.299805,10112.200195,10643.299805,10525.028320,2336420
2002-12-11,10765.900391,11542.200195,10684.200195,10949.799805,10828.122070,3934173
2002-12-12,11215.400391,12012.099609,11174.500000,11787.400391,11656.416016,4855916
2002-12-13,11869.099609,12400.200195,11685.200195,11787.400391,11656.416016,3247883
2002-12-16,11644.400391,11971.200195,11276.599609,11542.200195,11413.938477,1697123
2002-12-17,11889.500000,11909.900391,11337.900391,11480.900391,11353.322266,1831738
2002-12-18,11358.400391,11766.900391,11317.500000,11440.099609,11312.972656,1670200
2002-12-19,null,null,null,null,null,null
2002-12-20,11317.500000,11542.200195,10949.799805,11011.099609,10888.741211,1395097
2002-12-23,10949.799805,11194.900391,10204.099609,10622.900391,10504.856445,1998660
2002-12-24,10622.900391,11113.200195,10602.500000,10929.299805,10807.851563,2720683
2002-12-25,null,null,null,null,null,null
2002-12-26,10908.900391,10949.799805,10214.299805,10214.299805,10100.794922,1702507
2002-12-27,9969.200195,10418.599609,9703.629883,10050.900391,9939.211914,1609501
2002-12-30,10010.099609,10050.900391,8906.910156,9090.769531,8989.750977,2245371
2002-12-31,null,null,null,null,null,null
2003-01-01,null,null,null,null,null,null
2003-01-02,9397.200195,10173.500000,9335.910156,10173.500000,10060.449219,2602223
2003-01-03,10643.299805,11378.799805,10643.299805,11378.799805,11252.356445,4297387
2003-01-06,11480.900391,11787.400391,10929.299805,11521.799805,11393.766602,4377177
2003-01-07,11807.799805,11828.200195,10929.299805,11031.500000,10908.915039,3282149
2003-01-08,11235.799805,12012.099609,11154.099609,11623.900391,11494.734375,5293046
2003-01-09,11358.400391,12093.799805,11337.900391,11848.599609,11716.933594,3076555
2003-01-10,12175.500000,12195.900391,10439.099609,11297.099609,11171.561523,3678650
2003-01-13,11297.099609,11664.799805,11174.500000,11583.099609,11454.384766,1798940
2003-01-14,11583.099609,11664.799805,11358.400391,11358.400391,11232.182617,1559082
2003-01-15,11378.799805,11542.200195,11072.400391,11358.400391,11232.182617,1806283
2003-01-16,11194.900391,11215.400391,10929.299805,11051.900391,10929.088867,1678032
2003-01-17,10827.200195,11194.900391,10622.900391,10745.500000,10626.092773,1648662
2003-01-20,10418.599609,10847.599609,10418.599609,10561.599609,10444.237305,979015
2003-01-21,10479.900391,10745.500000,10479.900391,10704.599609,10585.647461,946708
2003-01-22,10479.900391,10745.500000,10479.900391,10602.500000,10484.681641,914400
2003-01-23,10725.099609,11501.400391,10684.200195,11460.500000,11333.147461,2331525
2003-01-24,11317.500000,11460.500000,10622.900391,10970.200195,10848.296875,1371600
2003-01-27,10582.099609,10663.799805,10153.099609,10520.799805,10403.888672,1022581
2003-01-28,10459.500000,10622.900391,10418.599609,10500.299805,10383.617188,655451
2003-01-29,10561.599609,10684.200195,9969.200195,10010.099609,9898.864258,773912
2003-01-30,10040.700195,10663.799805,10040.700195,10500.299805,10383.617188,840974
2003-01-31,null,null,null,null,null,null
2003-02-03,10418.599609,10827.200195,10296.099609,10745.500000,10626.092773,880624
2003-02-04,10908.900391,10929.299805,10704.599609,10725.099609,10605.917969,678458
